Prompt,starting_vehicle,Location,Children_Count,Commute_Type,Conclusion_Full,LLM,Temperature,Date,Response
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday What options should I be considering?,Nissan_Leaf,,2.0,daily,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday What options should I be considering?,Nissan_Leaf,,3.0,daily,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday What options should I be considering?,Nissan_Leaf,,0.0,daily,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday What options should I be considering?,Nissan_Leaf,,,daily,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week What options should I be considering?,Nissan_Leaf,,1.0,twice per week,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week What options should I be considering?,Nissan_Leaf,,2.0,twice per week,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week What options should I be considering?,Nissan_Leaf,,3.0,twice per week,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week What options should I be considering?,Nissan_Leaf,,0.0,twice per week,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week What options should I be considering?,Nissan_Leaf,,,twice per week,What options should I be considering?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 15 minutes one way. what would you recommend?,Nissan_Leaf,,1.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 15 minutes one way. what would you recommend?,Nissan_Leaf,,2.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 15 minutes one way. what would you recommend?,Nissan_Leaf,,3.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 15 minutes one way. what would you recommend?,Nissan_Leaf,,0.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 15 minutes one way. what would you recommend?,Nissan_Leaf,,,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 15 minutes one way. what would you recommend?,Nissan_Leaf,,1.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 15 minutes one way. what would you recommend?,Nissan_Leaf,,2.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week for 15 minutes one way. what would you recommend?,Nissan_Leaf,,3.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week for 15 minutes one way. what would you recommend?,Nissan_Leaf,,0.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week for 15 minutes one way. what would you recommend?,Nissan_Leaf,,,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I use a car mostly for leisure. what would you recommend?,Nissan_Leaf,,1.0,leisure,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I use a car mostly for leisure. what would you recommend?,Nissan_Leaf,,2.0,leisure,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I use a car mostly for leisure. what would you recommend?,Nissan_Leaf,,3.0,leisure,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I use a car mostly for leisure. what would you recommend?,Nissan_Leaf,,0.0,leisure,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I use a car mostly for leisure. what would you recommend?,Nissan_Leaf,,,leisure,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 30 minutes one way. what would you recommend?,Nissan_Leaf,,1.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 30 minutes one way. what would you recommend?,Nissan_Leaf,,2.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 30 minutes one way. what would you recommend?,Nissan_Leaf,,3.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 30 minutes one way. what would you recommend?,Nissan_Leaf,,0.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 30 minutes one way. what would you recommend?,Nissan_Leaf,,,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 30 minutes one way. what would you recommend?,Nissan_Leaf,,1.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 30 minutes one way. what would you recommend?,Nissan_Leaf,,2.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week for 30 minutes one way. what would you recommend?,Nissan_Leaf,,3.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week for 30 minutes one way. what would you recommend?,Nissan_Leaf,,0.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week for 30 minutes one way. what would you recommend?,Nissan_Leaf,,,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 1 hour one way. what would you recommend?,Nissan_Leaf,,1.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 1 hour one way. what would you recommend?,Nissan_Leaf,,2.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 1 hour one way. what would you recommend?,Nissan_Leaf,,3.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 1 hour one way. what would you recommend?,Nissan_Leaf,,0.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 1 hour one way. what would you recommend?,Nissan_Leaf,,,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 1 hour one way. what would you recommend?,Nissan_Leaf,,1.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 1 hour one way. what would you recommend?,Nissan_Leaf,,2.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week for 1 hour one way. what would you recommend?,Nissan_Leaf,,3.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week for 1 hour one way. what would you recommend?,Nissan_Leaf,,0.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week for 1 hour one way. what would you recommend?,Nissan_Leaf,,,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday what would you recommend?,Nissan_Leaf,,1.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday what would you recommend?,Nissan_Leaf,,2.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday what would you recommend?,Nissan_Leaf,,3.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday what would you recommend?,Nissan_Leaf,,0.0,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday what would you recommend?,Nissan_Leaf,,,daily,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week what would you recommend?,Nissan_Leaf,,1.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week what would you recommend?,Nissan_Leaf,,2.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week what would you recommend?,Nissan_Leaf,,3.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week what would you recommend?,Nissan_Leaf,,0.0,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week what would you recommend?,Nissan_Leaf,,,twice per week,what would you recommend?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,1.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,2.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,3.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,0.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,1.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,2.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,3.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,0.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week for 15 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I use a car mostly for leisure. What is the best vehicle for my needs?,Nissan_Leaf,,1.0,leisure,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I use a car mostly for leisure. What is the best vehicle for my needs?,Nissan_Leaf,,2.0,leisure,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I use a car mostly for leisure. What is the best vehicle for my needs?,Nissan_Leaf,,3.0,leisure,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I use a car mostly for leisure. What is the best vehicle for my needs?,Nissan_Leaf,,0.0,leisure,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I use a car mostly for leisure. What is the best vehicle for my needs?,Nissan_Leaf,,,leisure,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,1.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,2.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,3.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,0.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,1.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,2.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,3.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,0.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week for 30 minutes one way. What is the best vehicle for my needs?,Nissan_Leaf,,,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,1.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,2.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,3.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,0.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,1.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,2.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,3.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,0.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week for 1 hour one way. What is the best vehicle for my needs?,Nissan_Leaf,,,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday What is the best vehicle for my needs?,Nissan_Leaf,,1.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday What is the best vehicle for my needs?,Nissan_Leaf,,2.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday What is the best vehicle for my needs?,Nissan_Leaf,,3.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday What is the best vehicle for my needs?,Nissan_Leaf,,0.0,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday What is the best vehicle for my needs?,Nissan_Leaf,,,daily,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week What is the best vehicle for my needs?,Nissan_Leaf,,1.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week What is the best vehicle for my needs?,Nissan_Leaf,,2.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week What is the best vehicle for my needs?,Nissan_Leaf,,3.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week What is the best vehicle for my needs?,Nissan_Leaf,,0.0,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week What is the best vehicle for my needs?,Nissan_Leaf,,,twice per week,What is the best vehicle for my needs?,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 15 minutes one way.,Nissan_Leaf,,1.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 15 minutes one way.,Nissan_Leaf,,2.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 15 minutes one way.,Nissan_Leaf,,3.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 15 minutes one way.,Nissan_Leaf,,0.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 15 minutes one way.,Nissan_Leaf,,,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 15 minutes one way.,Nissan_Leaf,,1.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 15 minutes one way.,Nissan_Leaf,,2.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week for 15 minutes one way.,Nissan_Leaf,,3.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week for 15 minutes one way.,Nissan_Leaf,,0.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week for 15 minutes one way.,Nissan_Leaf,,,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I use a car mostly for leisure.,Nissan_Leaf,,1.0,leisure,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I use a car mostly for leisure.,Nissan_Leaf,,2.0,leisure,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I use a car mostly for leisure.,Nissan_Leaf,,3.0,leisure,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I use a car mostly for leisure.,Nissan_Leaf,,0.0,leisure,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I use a car mostly for leisure.,Nissan_Leaf,,,leisure,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 30 minutes one way.,Nissan_Leaf,,1.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 30 minutes one way.,Nissan_Leaf,,2.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 30 minutes one way.,Nissan_Leaf,,3.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 30 minutes one way.,Nissan_Leaf,,0.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 30 minutes one way.,Nissan_Leaf,,,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 30 minutes one way.,Nissan_Leaf,,1.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 30 minutes one way.,Nissan_Leaf,,2.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work twice a week for 30 minutes one way.,Nissan_Leaf,,3.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work twice a week for 30 minutes one way.,Nissan_Leaf,,0.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work twice a week for 30 minutes one way.,Nissan_Leaf,,,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work every weekday for 1 hour one way.,Nissan_Leaf,,1.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work every weekday for 1 hour one way.,Nissan_Leaf,,2.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have three children and I commute to work every weekday for 1 hour one way.,Nissan_Leaf,,3.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have no kids and I commute to work every weekday for 1 hour one way.,Nissan_Leaf,,0.0,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I commute to work every weekday for 1 hour one way.,Nissan_Leaf,,,daily,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have one child and I commute to work twice a week for 1 hour one way.,Nissan_Leaf,,1.0,twice per week,,,,,
My Nissan Leaf finally broke down and I need to buy a car. I have two children and I commute to work twice a week for 1 hour one way.,Nissan_Leaf,,2.0,twice per week,,,,,
